dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,POOLED,33531,6,0.0948376129551758,22,0.9887401418083475,nan,0.5914820292307466
cand_mimic4_regime,0,5976,6,0.3704819277108434,22,0.9681430743511759,0.9688227422323841,0.5301459298927561
cand_mimic4_regime,1,3819,6,0.027755957056821157,22,0.9809986838695253,0.8099195076960604,0.43111403584549945
cand_mimic4_regime,2,6957,6,0.02242345838723588,22,0.9642336722729312,0.966476460852288,0.4794265737693175
cand_mimic4_regime,3,5280,6,0.023863636363636365,22,0.9731869529599448,0.9698823844632927,0.4959147156469625
cand_mimic4_regime,4,2257,6,0.11874169251218432,22,0.9949770378874856,0.9935831776261977,0.5091604571411419
cand_mimic4_regime,6,690,6,0.04927536231884058,22,0.9833662123385939,0.7845677905308466,0.37296000717360117
cand_mimic4_regime,7,4555,6,0.02854006586169045,22,0.9782199043893959,0.9921860060843111,0.4703989569752281
cand_mimic4_regime,8,3510,6,0.018518518518518517,22,0.9890432064307246,0.8719794574076143,0.5240973540247849
cand_mimic4_regime,POOLED,33531,7,0.4086666070203692,22,0.9344766859547313,nan,0.5504439213505579
cand_mimic4_regime,0,5976,7,0.12366131191432396,22,0.926581007471817,0.919774928213247,0.5592952250084816
cand_mimic4_regime,1,3819,7,0.44959413459020686,22,0.9128098319430644,0.9245389614239871,0.5235685347232881
cand_mimic4_regime,2,6957,7,0.31982176225384507,22,0.9039789337715007,0.903622669465366,0.5129404389905686
cand_mimic4_regime,3,5280,7,0.4024621212121212,22,0.8702795562599049,0.8722938379789316,0.5208193903234828
cand_mimic4_regime,4,2257,7,0.8941072219760744,22,0.9544331145216068,0.9468310311796342,0.5114720652205464
cand_mimic4_regime,6,690,7,0.5826086956521739,22,0.9416416182974019,0.939473638750691,0.5395721047540079
cand_mimic4_regime,7,4555,7,0.550384193194292,22,0.9450997168864679,0.9495411870200937,0.5461364429597128
cand_mimic4_regime,8,3510,7,0.44017094017094016,22,0.9348439108344244,0.9366703722918057,0.5009478165633208
cand_mimic4_regime,POOLED,33531,8,0.15436461781634905,22,0.7867832953634601,nan,0.5658630694356738
cand_mimic4_regime,0,5976,8,0.027275769745649263,22,0.9451087524366266,0.9435789678096165,0.6078817416853911
cand_mimic4_regime,1,3819,8,0.12411626080125687,22,0.7350207816944492,0.7153970596582846,0.550405542626125
